Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,,,
,,,,,,,,Awer,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Aketola,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Tibobo,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Hoku- hoku Gam,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Gamiyel,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Golago Kusuma,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Ngaon,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Gamsungi,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Taba Campaka,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
82.01.04.2028,,,,,,,14,Lako Akederi,,,,Perda No. 4/2004,,,,
82.01.04.2029,,,,,,,15,Jara Kore,,,,Perda No. 4/2004,,,,
82.01.04.2030,,,,,,,16,Ropu Tengah Balu,,,,Perda No. 4/2004,,,,
,,,,,,,,Campaka,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
,,,,,,,,Goal,,,,"Menjadi wil. Kec. Sahu Timur, Perda No. 7/2005",,,,
82.01.04.2033,,,,,,,17,Dere,,,,Pemekaran Desa Todahe Perda No. 8/2012,,,,
82.01.04.2034,,,,,,,18,Balisoan Utara,,,,Pemekaran Desa Balisoan Perda No. 8/2012,,,,
82.01.04.2035,,,,,,,19,Sasur Pantai,,,,Pemekaran Desa Sasur Perda No. 8/2012,,,,
82.01.05,,,,5,Jailolo Selatan,-,,,22,,,,,,,
82.01.05.2001,,,,,,,1,Sidangoli Gam,,,,,,,,
82.01.05.2002,,,,,,,2,Sidongoli Dehe,,,,,,,,
82.01.05.2003,,,,,,,3,Domato,,,,,,,,
82.01.05.2004,,,,,,,4,Tataleka,,,,,,,,
82.01.05.2005,,,,,,,5,Gamlenge,,,,,,,,
82.01.05.2006,,,,,,,6,Akejailolo,,,,,,,,
82.01.05.2007,,,,,,,7,Biamaahi,,,,,,,,
82.01.05.2008,,,,,,,8,Tuguraci,,,,,,,,
82.01.05.2009,,,,,,,9,Akeara,,,,,,,,
82.01.05.2010,,,,,,,10,Akelaha,,,,,,,,
82.01.05.2011,,,,,,,11,Dodinga,,,,,,,,
82.01.05.2012,,,,,,,12,Tewe,,,,,,,,
82.01.05.2013,,,,,,,13,Toniku,,,,,,,,
82.01.05.2014,,,,,,,14,Rioribati,,,,,,,,
,,,,,,,,Bobaneigo,,,,"Menjadi wil. Kec. Jailolo Timur, Perda No. 6/2005",,,,
,,,,,,,,Pasir Putih,,,,"Menjadi wil. Kec. Jailolo Timur, Perda No. 6/2005",,,,
,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,JUMLAH,,,N A M A   /   J U M L A H,,,LUAS,JUMLAH,,,,,,,
,NAMA PROVINSI /,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,,,,,
K O D E,KABUPATEN / KOTA,,,,,,,(Km2),(Jiwa) *),,,,,,,
,,KAB,KOTA,KECAMATAN,KELURAHAN,,D E S A,,,,,,,,,
,,,,,,,Telewang,,,"Menjadi wil. Kec. Jailolo Timur, Perda No. 6/2005",,,,,,
,,,,,,,Akerlamo Kao,,,"Menjadi wil. Kec. Jailolo Timur, Perda No. 6/2005",,,,,,
,,,,,,,Gamsungi,,,"Menjadi wil. Kec. Jailolo Timur, Perda No. 6/2005",,,,,,
,,,,,,,Dum-Dum,,,"Menjadi wil. Kec. Jailolo Timur, Perda No. 6/2005",,,,,,
82.01.05.2021,,,,,,15,Taba Damai (DB),,,,,,,,,
82.01.05.2022,,,,,,16,Moiso,,,,,,,,,
82.01.05.2023,,,,,,17,Braha,,,,,,,,,
82.01.05.2024,,,,,,18,Bangkit Rahmat,,,,,,,,,
82.01.05.2025,,,,,,19,Bobane Dano,,,Pemekaran Desa Biamahi Perda No. 7/2012,,,,,,
82.01.05.2026,,,,,,20,Suka Damai,,,Pemekaran Desa Akeara Perda No. 7/2012,,,,,,
82.01.05.2027,,,,,,21,Hijrah,,,Pemekaran Desa Akeara Perda No. 7/2012,,,,,,
82.01.05.2028,,,,,,22,Ratem,,,Pemekaran Desa Gamlenge Perda No. 7/2012,,,,,,
,,,,Jailolo Timur,,,,,,Status dlm sengketa dgn Kab. Halmahera Utara,,,,,,
,,,,,,,,,,,,,,,,
Bobaneigo,"Menjadi Wil. Kec. Malifut berdasarkan PP No. 42/1999, menjadi",,,,,,,,,,,,,,,
"wil. Kec. Kao Teluk berdasarkan Perda No. 2/2006, masuk Kab.",,,,,,,,,,,,,,,,
"Halut sesuai Surat Mendagri No. 146.3/111/SJ, tgl 15 Januari",,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,
,,,,,Pasir Putih,,menjadi wil. Kec. Malifut Kab Halut sesuai UU No 1/2003 jo PP No,,,,,,,,,
,,,,,,,"42/1999, ditegaskan dgn  Surat Mendagri No. 146.3/111/SJ, tgl",,,,,,,,,
,,,,,,,15 Jan 2010,,,,,,,,,
,,,,,Tetewang,,menjadi wil. Kec. Malifut Kab Halut sesuai UU No 1/2003 jo PP No,,,,,,,,,
,,,,,,,"42/1999, ditegaskan dgn  Surat Mendagri No. 146.3/111/SJ, tgl",,,,,,,,,
,,,,,,,15 Jan 2010,,,,,,,,,
,,,,,Akelamo Kao,,menjadi wil. Kec. Malifut Kab Halut sesuai UU No 1/2003 jo PP No,,,,,,,,,
,,,,,,,"42/1999, ditegaskan dgn  Surat Mendagri No. 146.3/111/SJ, tgl",,,,,,,,,
,,,,,,,15 Jan 2010,,,,,,,,,
,,,,,Gamsungi,,menjadi wil. Kec. Malifut Kab Halut sesuai UU No 1/2003 jo PP No,,,,,,,,,
,,,,,,,"42/1999, ditegaskan dgn  Surat Mendagri No. 146.3/111/SJ, tgl",,,,,,,,,
,,,,,,,15 Jan 2010,,,,,,,,,
,,,,,Dum Dum,,menjadi wil. Kec. Malifut Kab Halut sesuai UU No 1/2003 jo PP No,,,,,,,,,
,,,,,,,"42/1999, ditegaskan dgn  Surat Mendagri No. 146.3/111/SJ, tgl",,,,,,,,,
,,,,,,,15 Jan 2010,,,,,,,,,
82.01.07,6,Ibu Utara,-,,,16,Perda No. 7/2005,,,,,,,,,
82.01.07.2001,,,,1,Podol,,Semula wil. Kec. Ibu,,,,,,,,,
82.01.07.2002,,,,2,Tengowango,,Semula wil. Kec. Ibu,,,,,,,,,
