Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,
12.01.11.2006,,,,,,,,5,Sigodung,,,,,
12.01.11.2007,,,,,,,,6,Masnauli,,,,,
12.01.11.2008,,,,,,,,7,Muara Ode,,,Perda No. 9/2007,,
12.01.12,,,,12,Andam Dewi,,1,,13,,,,,
12.01.12.2001,,,,,,,,1,Sijungkang,,,,,
12.01.12.2002,,,,,,,,2,Pangaribuan,,,,,
12.01.12.2003,,,,,,,,3,Sogar,,,,,
12.01.12.2004,,,,,,,,4,Sirami Ramian,,,,,
12.01.12.2005,,,,,,,,5,Sigolang,,,,,
12.01.12.2006,,,,,,,,6,Sosor Gonting,,,,,
12.01.12.1007,,,,,,1,Rina Bolak,,,,,"Menjadi Kel., Perda No. 7/2007",,
,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,JUMLAH,,,,,N A M A   /   J U M L A H,,,,LUAS,JUMLAH,,
,NAMA PROVINSI /,,,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,
K O D E,KABUPATEN / KOTA,,,,,,,,,,(Km2),(Jiwa) *),,
,,KAB,KOTA,,KECAMATAN,,KELURAHAN,,D E S A,,,,,
12.01.12.2008,,,,,,,,7,Bondar Sihudon I,,,,,
12.01.12.2009,,,,,,,,8,Uratan,,,,,
12.01.12.2010,,,,,,,,9,Ladang Tengah,,,,,
12.01.12.2011,,,,,,,,10,Lobu Tua,,,,,
12.01.12.2012,,,,,,,,11,Bondar Sihudon II,,,,,
12.01.12.2013,,,,,,,,12,Sitiris-Tiris,,,,,
12.01.12.2014,,,,,,,,13,Sawah Lamo,,,,Perda No. 9/2007,
12.01.13,,,,13,Sitahuis,,1,,,5,,,,
12.01.13.2001,,,,,,,,1,Bonandolok,,,,,
12.01.13.2002,,,,,,,,2,Rampa,,,,,
12.01.13.1003,,,,,,1,Nauli,,,,,,"Menjadi Kel., Perda No. 7/2007",
12.01.13.2004,,,,,,,,3,Mardame,,,,,
12.01.13.2005,,,,,,,,4,Naga Timbul,,,,,
12.01.13.2006,,,,,,,,5,Simaninggir,,,,,
12.01.14,,,,14,Tukka,,5,,,4,,,,
12.01.14.1001,,,,,,1,Tukka,,,,,,,
12.01.14.1002,,,,,,2,Bona Lumban,,,,,,Peningkatan status menjadi Kelurahan Perda 10/2009,
12.01.14.1003,,,,,,3,Huta Nabolon,,,,,,Peningkatan status menjadi Kelurahan Perda 10/2009,
12.01.14.2004,,,,,,,,1,Sigiring Giring,,,,,
12.01.14.2005,,,,,,,,2,Tapian Nauli/,,,,,
,,,,,,,,,Saurmanggita,,,,,
12.01.14.2006,,,,,,,,3,Sait Kalangan II,,,,,
12.01.14.1007,,,,,,4,Sipange,,,,,,Peningkatan status menjadi Kelurahan Perda 10/2009,
12.01.14.2008,,,,,,,,4,Aek Bottar,,,,,
12.01.14.1009,,,,,,5,Aek Tolang Induk,,,,,,Perda 10/2009,
12.01.15,,,,15,Badiri,,2,,,7,,,,
12.01.15.1001,,,,,,1,Hutabalang,,,,,,,
12.01.15.1002,,,,,,2,Lopian,,,,,,Peningkatan status menjadi Kelurahan Perda 10/2009,
12.01.15.2003,,,,,,,,1,Jago Jago,,,,,
12.01.15.2004,,,,,,,,2,Aek Horsik,,,,,
12.01.15.2005,,,,,,,,3,Gunung Kelambu,,,,,
